iter	RMSE
0	6761.85764
1	6566.606978
2	6371.040442
3	6186.088111
4	6014.744536
5	5833.267597
6	5661.155227
7	5509.697232
8	5370.619697
9	5231.641061
10	5103.592971
11	4972.646884
12	4845.927894
13	4734.872595
14	4618.091565
15	4510.121722
16	4400.642518
17	4298.030424
18	4198.165833
19	4114.115988
20	4025.414871
21	3938.286343
22	3855.609981
23	3774.588648
24	3699.843516
25	3631.956195
26	3563.969775
27	3485.254616
28	3416.971698
29	3362.128471
30	3313.064262
31	3255.265179
32	3199.290443
33	3149.757879
34	3093.924521
35	3047.136845
36	3005.847862
37	2959.117116
38	2923.049277
39	2882.383835
40	2846.301865
41	2809.813518
42	2780.376062
43	2746.247986
44	2710.433752
45	2680.620999
46	2651.547136
47	2621.94973
48	2596.963476
49	2573.905412
50	2544.731014
51	2518.279056
52	2491.492452
53	2468.180667
54	2442.495584
55	2424.813329
56	2403.016194
57	2382.828549
58	2363.270295
59	2345.3579
60	2321.33624
61	2305.834107
62	2281.693596
63	2264.225383
64	2246.673201
65	2229.404359
66	2217.666566
67	2200.557604
68	2189.175499
69	2177.684956
70	2166.032966
71	2156.683017
72	2147.937757
73	2138.967108
74	2127.017245
75	2117.585754
76	2105.040229
77	2092.754806
78	2079.240526
79	2069.139683
80	2058.794379
81	2050.110769
82	2036.779106
83	2027.328352
84	2019.975115
85	2012.351066
86	2003.207946
87	1994.095978
88	1983.007711
89	1978.175794
90	1971.406059
91	1964.58457
92	1958.769488
93	1949.637361
94	1941.082682
95	1935.447596
96	1928.277092
97	1921.402501
98	1917.304165
99	1915.063324
100	1911.042051
101	1905.748612
102	1897.84028
103	1891.741531
104	1886.490771
105	1880.313393
106	1871.848274
107	1864.482322
108	1857.686215
109	1852.333286
110	1848.666541
111	1844.339468
112	1836.290764
113	1833.197386
114	1830.770055
115	1823.94473
116	1818.716754
117	1813.331245
118	1807.134194
119	1802.136159
120	1797.571128
121	1788.913583
122	1784.172081
123	1777.410015
124	1773.277794
125	1766.8582
126	1762.565829
127	1756.780761
128	1753.844643
129	1750.805862
130	1746.14538
131	1740.517573
132	1737.532903
133	1731.841506
134	1728.679251
135	1725.198879
136	1720.573457
137	1715.43311
138	1709.960466
139	1704.52606
140	1702.405123
141	1699.190294
142	1695.983475
143	1691.40983
144	1688.760937
145	1685.457888
146	1682.169629
147	1678.420702
148	1675.509862
149	1672.115709
150	1668.177186
151	1663.907675
152	1660.901707
153	1658.788661
154	1654.661137
155	1648.90494
156	1642.73651
157	1639.209473
158	1635.592149
159	1633.523114
160	1629.889455
161	1626.410724
162	1622.663376
163	1620.19489
164	1614.622515
165	1610.476435
166	1607.491443
167	1604.939072
168	1601.451419
169	1597.811587
170	1593.577768
171	1590.824445
172	1589.069912
173	1585.245957
174	1583.922845
175	1578.950788
176	1576.169449
177	1571.764632
178	1569.144942
179	1567.046723
180	1564.717959
181	1562.525085
182	1558.886106
183	1555.661534
184	1552.86259
185	1550.324229
186	1547.927409
187	1546.552074
188	1541.325709
189	1538.116102
190	1535.370849
191	1529.757756
192	1527.08338
193	1523.695135
194	1520.471221
195	1518.387617
196	1514.094392
197	1511.648579
198	1509.950048
199	1505.682393
200	1501.751212
201	1499.405078
202	1496.484262
203	1492.405349
204	1489.943265
205	1487.962703
206	1483.506008
207	1480.601354
208	1475.586431
209	1472.413674
210	1469.690512
211	1468.037262
212	1464.927622
213	1461.858681
214	1459.166365
215	1456.719649
216	1454.178098
217	1450.368853
218	1447.497926
219	1443.698731
220	1439.963933
221	1435.206392
222	1433.34395
223	1430.110994
224	1426.945908
225	1423.062996
226	1419.659929
227	1417.551389
228	1414.84205
229	1411.958691
230	1410.586977
231	1407.665548
232	1405.040643
233	1401.712275
234	1397.681696
235	1395.171615
236	1394.254533
237	1392.397791
238	1390.037325
239	1388.29463
240	1385.881478
241	1383.9129
242	1382.440358
243	1379.884191
244	1378.804306
245	1375.355108
246	1372.507077
247	1369.830039
248	1368.410855
249	1364.721864
250	1362.529928
251	1360.628116
252	1358.132759
253	1355.968895
254	1353.597421
255	1350.811811
256	1348.898778
257	1345.532849
258	1343.791805
259	1341.732233
260	1338.153945
261	1337.183462
262	1334.254258
263	1331.208253
264	1327.206005
265	1326.504358
266	1323.004992
267	1319.901558
268	1316.885207
269	1313.961294
270	1311.737552
271	1309.763305
272	1307.182401
273	1306.701985
274	1305.012288
275	1300.544055
276	1298.898243
277	1298.275851
278	1296.14782
279	1293.685308
280	1291.601723
281	1288.707447
282	1286.654643
283	1285.711651
284	1285.098797
285	1281.411297
286	1280.96598
287	1277.904068
288	1277.337826
289	1273.762121
290	1271.907777
291	1269.590617
292	1267.429448
293	1266.264905
294	1263.624709
295	1261.815815
296	1261.310411
297	1259.040701
298	1255.276625
299	1254.366118
300	1252.311474
301	1250.093298
302	1247.495582
303	1246.878445
304	1246.10807
305	1243.916106
306	1242.036099
307	1239.693329
308	1236.064076
309	1235.875125
310	1235.132974
311	1234.665171
312	1232.236259
313	1230.004879
314	1228.298078
315	1225.472236
316	1221.633061
317	1221.024389
318	1217.797015
319	1215.901051
320	1212.979529
321	1210.889161
322	1209.582335
323	1208.512451
324	1207.150119
325	1205.168253
326	1203.343815
327	1202.574567
328	1200.598625
329	1200.130042
330	1196.560983
331	1194.548909
332	1191.913395
333	1189.873561
334	1187.223369
335	1185.560134
336	1182.818879
337	1180.58774
338	1179.353721
339	1177.397689
340	1175.927013
341	1173.994539
342	1173.774754
343	1171.783422
344	1169.352406
345	1167.230301
346	1165.117647
347	1163.286219
348	1162.854073
349	1160.681249
350	1160.30626
351	1159.601335
352	1157.918718
353	1155.446924
354	1152.618554
355	1149.94925
356	1147.75922
357	1146.609643
358	1143.834539
359	1142.636556
360	1139.831564
361	1137.726517
362	1134.775557
363	1132.646287
364	1131.17013
365	1129.756699
366	1128.512381
367	1126.545649
368	1125.928735
369	1124.184601
370	1123.564216
371	1121.678013
372	1119.147808
373	1117.237387
374	1116.334175
375	1114.543292
376	1112.907084
377	1111.85822
378	1110.046348
379	1108.169614
380	1107.351424
381	1106.423657
382	1104.538792
383	1102.202115
384	1100.768583
385	1098.23433
386	1097.245603
387	1095.419817
388	1093.595253
389	1092.528213
390	1089.654919
391	1087.089568
392	1085.963948
393	1084.450454
394	1082.516891
395	1079.866477
396	1078.950714
397	1077.275439
398	1075.864907
399	1074.153235
400	1072.782795
401	1071.318897
402	1069.004667
403	1067.916243
404	1066.603388
405	1065.132023
406	1064.766896
407	1063.340316
408	1062.25208
409	1060.726401
410	1059.21365
411	1057.118767
412	1056.822635
413	1056.059431
414	1055.924915
415	1054.860371
416	1052.487728
417	1052.380553
418	1051.345728
419	1050.708805
420	1048.755212
421	1047.170402
422	1044.646514
423	1044.455281
424	1042.260085
425	1041.728036
426	1040.229724
427	1039.471624
428	1038.807534
429	1037.500307
430	1036.008611
431	1034.642219
432	1031.906472
433	1029.532548
434	1028.247339
435	1026.944089
436	1025.141836
437	1023.298264
438	1021.626145
439	1020.371076
440	1018.568114
441	1015.999984
442	1015.137098
443	1012.905676
444	1012.138326
445	1011.257063
446	1009.812454
447	1008.983367
448	1007.297536
449	1005.629062
450	1003.73106
451	1001.093502
452	999.8708488
453	999.6527076
454	997.0368097
455	996.1001157
456	994.8036266
457	993.1983596
458	991.732553
459	990.4300612
460	989.714299
461	988.0743421
462	987.1940273
463	986.0261772
464	984.7339035
465	983.6589776
466	982.2798826
467	981.2707061
468	980.2995666
469	977.8840551
470	976.9561208
471	975.3197828
472	974.6876924
473	973.3835003
474	971.887683
475	970.6526638
476	968.512351
477	968.1730522
478	967.2509303
479	966.2877936
480	966.1475096
481	965.1191517
482	963.2024068
483	962.6813306
484	962.1102636
485	960.935763
486	958.8838921
487	957.4191211
488	956.0367607
489	953.7597359
490	952.6870489
491	952.351329
492	951.3865795
493	950.2583564
494	949.0427607
495	946.7859897
496	944.7500318
497	943.9429209
498	942.4712511
499	941.1731425
500	940.0627013
501	939.9340712
502	939.2836945
503	938.3399278
504	937.7041736
505	936.2990385
506	934.4810979
507	933.3333636
508	933.0357032
509	931.4040677
510	930.6058193
511	930.10846
512	929.1881096
513	928.1580681
514	928.0224268
515	927.2942862
516	925.1834285
517	924.1525124
518	922.3796741
519	922.2543163
520	921.3701488
521	920.9492434
522	919.2025174
523	916.8021347
524	915.205997
525	913.6851624
526	912.65236
527	911.6639317
528	910.4930319
529	910.3079369
530	908.2589912
531	906.6836252
532	906.3801652
533	905.1433798
534	904.6533287
535	903.4864542
536	902.5462369
537	901.65564
538	900.5143792
539	900.3783067
540	899.3539216
541	898.5184008
542	897.648965
543	896.0538766
544	894.6757709
545	893.1768234
546	891.9067659
547	890.7659471
548	889.893225
549	889.0696591
550	888.3065895
551	886.8036549
552	885.9005281
553	884.8418756
554	884.1479432
555	882.557367
556	880.3144806
557	880.0153653
558	879.186062
559	877.7806772
560	876.8871893
561	875.8009919
562	875.7230886
563	874.4945942
564	873.0978085
565	871.7048166
566	870.5496496
567	869.3976306
568	869.0393575
569	868.5142216
570	868.0265468
571	867.5511376
572	866.5201609
573	865.4997952
574	865.3964837
575	864.3114205
576	863.0725171
577	861.6352045
578	860.6753915
579	859.7443131
580	858.7790248
581	858.1500322
582	857.305028
583	856.4803414
584	856.3783963
585	854.9535313
586	853.9489427
587	853.52428
588	853.0990792
589	851.220355
590	850.8866759
591	849.6342293
592	848.6156871
593	847.6975564
594	847.1261569
595	845.7182315
596	843.9874394
597	842.6983004
598	841.6256181
599	839.9347426
600	838.7346565
601	837.7405948
602	836.8311876
603	836.6946848
604	835.7737422
605	835.3663036
606	834.9303963
607	833.8957004
608	833.5878588
609	832.5088556
610	831.7049169
611	831.0329691
612	829.8575236
613	829.3963628
614	828.3516037
