,feature,mean_abs_shap
33,lag1,182.92746523322768
36,lag7,87.28767308592859
39,lag28,39.47708402258992
38,lag21,30.592314893264504
37,lag14,27.079932234411846
19,dayofweek,17.940415605319057
15,snap,17.16260609559578
1,dept_id,10.84268921503788
50,rolling_mean_lag7_window_size14,8.92371470035293
12,price_vs_mean,7.8773596778389035
40,lag35,7.578281726542074
54,rolling_mean_lag28_window_size7,7.412976597789208
11,price_change,7.410007811162268
34,lag2,7.265180409426466
35,lag3,6.890003355908979
44,lag182,6.430378101259254
43,lag91,5.235331986492822
5,event_name_1,5.047699730382804
45,lag364,4.001841513307854
46,rolling_mean_lag7_window_size7,3.699188268604987
42,lag56,3.622317739259945
18,day,3.5745496848566516
3,store_id,2.727941890228217
32,is_store_closed,1.9440090227684645
20,weekofyear,1.9217546933733505
9,avg_sell_price,1.8553748435029112
25,days_to_event,1.6179183582458712
22,price_vs_max,1.2368255651615179
2,cat_id,1.1191889850620023
26,days_to_closure,1.1131838901949118
24,days_since_event,0.7654964172988692
60,rolling_min_lag28_window_size28,0.682058186792135
75,expanding_mean_lag91,0.6640296920583583
23,days_since_release,0.6592083869615849
53,rolling_max_lag7_window_size14,0.6080342995965204
82,rolling_min_lag364_window_size91,0.5733770972857561
49,rolling_max_lag7_window_size7,0.5078631754064273
59,rolling_std_lag28_window_size28,0.46979945734068923
56,rolling_min_lag28_window_size7,0.46273342703457854
51,rolling_std_lag7_window_size14,0.4611763788889034
4,state_id,0.4377586464364441
17,month,0.40326757573443295
58,rolling_mean_lag28_window_size28,0.4007819482027183
41,lag42,0.37478235860232706
72,rolling_std_lag91_window_size91,0.36164029152400967
63,rolling_std_lag28_window_size91,0.3017909792223882
73,rolling_min_lag91_window_size91,0.2984857936367604
64,rolling_min_lag28_window_size91,0.2738908861697757
47,rolling_std_lag7_window_size7,0.26858871882387964
52,rolling_min_lag7_window_size14,0.2620376303461758
79,rolling_max_lag364_window_size28,0.20509808439373237
69,rolling_min_lag91_window_size28,0.20382447055614056
84,seasonal_rolling_mean_lag364_season_length7_window_size8,0.1519418785518308
78,rolling_min_lag364_window_size28,0.14335741024886242
68,rolling_std_lag91_window_size28,0.12686594906064005
70,rolling_max_lag91_window_size28,0.12659783286967993
80,rolling_mean_lag364_window_size91,0.1232678074063534
81,rolling_std_lag364_window_size91,0.12252840175975747
66,rolling_mean_lag28_window_size7_truediv_rolling_mean_lag28_window_size28,0.11942767574201406
10,price_lag_7,0.09990513080866752
57,rolling_max_lag28_window_size7,0.09935890535465267
62,rolling_mean_lag28_window_size91,0.09867496107233957
61,rolling_max_lag28_window_size28,0.09522562548403218
65,rolling_max_lag28_window_size91,0.09518624286440587
48,rolling_min_lag7_window_size7,0.09071265036595481
67,rolling_mean_lag91_window_size28,0.08107816868525734
77,rolling_std_lag364_window_size28,0.06808410566241
74,rolling_max_lag91_window_size91,0.06617058013283221
86,rolling_mean_lag365_window_size91,0.05513069692553398
85,rolling_mean_lag365_window_size28,0.054496028480237296
71,rolling_mean_lag91_window_size91,0.04521478503136835
83,rolling_max_lag364_window_size91,0.03884461325769673
55,rolling_std_lag28_window_size7,0.027933867477424327
76,rolling_mean_lag364_window_size28,0.015944539637595175
31,is_month_end,0.010093304636610446
7,event_name_2,0.0
8,event_type_2,0.0
0,item_id,0.0
6,event_type_1,0.0
21,is_weekend,0.0
16,year,0.0
13,has_event,0.0
14,has_event_2,0.0
30,is_month_start,0.0
29,quarter,0.0
28,event_type_2_enc,0.0
27,event_type_1_enc,0.0
