level	grainly	aggregation	n_rows	n_days	n_series	n_state_id	n_store_id	n_cat_id	n_dept_id	n_item_id	disk_mb	ram_mb
01	daily	['total']	1941	1941	1	1	1	1	1	1	0.09	0.34
02	daily	['state']	5823	1941	3	3	1	1	1	1	0.24	0.98
03	daily	['cat']	5823	1941	3	1	1	3	1	1	0.24	1.03
04	daily	['dept']	13587	1941	7	1	1	3	7	1	0.56	2.58
05	daily	['state', 'cat']	17469	1941	9	3	1	3	1	1	0.71	3.1
06	daily	['store']	19410	1941	10	3	10	1	1	1	0.76	3.33
07	daily	['state', 'dept']	40761	1941	21	3	1	3	7	1	1.52	7.74
08	daily	['store', 'cat']	58230	1941	30	3	10	3	1	1	2.08	10.56
09	daily	['store', 'dept']	135870	1941	70	3	10	3	7	1	4.57	26.31
10	daily	['item']	1597443	1941	823	1	1	1	1	823	22.04	320.14
11	daily	['item', 'state']	17754327	1941	9147	3	1	3	7	3049	137.07	3735.08
12	daily	['item', 'store']	1597443	1941	823	1	1	1	1	823	12.16	326.27
